"","X","Y","OBJECTID","ID","ORDITAL_IMAGE","Package_Name","Asset_Name","Asset_Status","No_Lights_on_Pole","External_ID","External_Class","Pole_ID_Number","Pole_Sequence_Number","Light_Housing","Light_Type","Light_Power_Rating","Light_Configuration","Text_on_Light","Year_on_Light","Geolocation_from_Google_Maps","Geolocation_Latitude","Geolocation_Longitude","Latest_Audit","House_Property_Number","House_Property_Number_observed","Street","Type","Suburb","Other_Asset","Latitude","Longitude","bus_stops_nearby","park_nearby","tourist_nearby"
"1",526854.71364499,5252048.39403624,781,"5a9f9481-9eb1-4ef7-b8f3-d12573f248dd","https://image.prod.ordital.com/?assetId=5a9f9481-9eb1-4ef7-b8f3-d12573f248dd","HOBART","COH-05-33-19","APPROVED",1,3617,"HPS_250_T","357575","27","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88369235,147.3288522,"2020/05/14 02:30:43+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88369235,147.3288522,13,1,1
"2",526880.681444919,5252073.17283496,784,"b250ea2a-24f4-4fdb-8c5d-d0f82e52dc40","https://image.prod.ordital.com/?assetId=b250ea2a-24f4-4fdb-8c5d-d0f82e52dc40","HOBART","COH-05-33-22","APPROVED",1,4286,"HPS_250_T","168947",NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",NA,1,-42.8834683,147.329169,"2020/05/14 02:32:48+00","119","119","MACQUARIE","ST","HOBART",NA,-42.8834683,147.329169,13,1,1
"3",526868.710683585,5252035.8442449,786,"6f311afe-6c62-4602-b357-e920efedbc9d","https://image.prod.ordital.com/?assetId=6f311afe-6c62-4602-b357-e920efedbc9d","HOBART","COH-05-33-24","APPROVED",1,696,"HPS_250_T","168944","26","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88380487,147.3290242,"2020/05/14 02:29:27+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88380487,147.3290242,13,1,1
"4",526891.807605858,5252061.56147034,787,"a085746c-3e66-44ed-b077-4239e89635d1","https://image.prod.ordital.com/?assetId=a085746c-3e66-44ed-b077-4239e89635d1","HOBART","COH-05-33-25","APPROVED",2,1819,"HPS_400_T","168948",NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2005,1,-42.88357247,147.3293058,"2020/05/14 02:31:45+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88357247,147.3293058,13,1,1
"5",526829.757133378,5252109.02809751,418,"018e48b5-62cb-44a1-a46a-9b692c1920ed","https://image.prod.ordital.com/?assetId=018e48b5-62cb-44a1-a46a-9b692c1920ed","HOBART","COH-05-12-01","APPROVED",1,25400,"MV_125_E","371651",NA,"U-ORN","MV (Mercury Vapour)","125 (142 Watts - MV)","E (ELLIPTICAL - MV)",NA,NA,1,-42.88314721,147.3285437,"2020/05/18 23:36:49+00",NA,NA,"COLLINS","CT","HOBART",NA,-42.88314721,147.3285437,12,2,1
"6",526959.904632902,5252054.77516695,763,"9bef4365-7d5a-4aed-a78b-18ff7aa00913","https://image.prod.ordital.com/?assetId=9bef4365-7d5a-4aed-a78b-18ff7aa00913","HOBART","COH-05-33-1-13","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88363118,147.33014,"2020/05/07 05:09:55+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88363118,147.33014,12,1,5
"7",526942.725964174,5252061.86961568,766,"c13a7b9f-ed8a-45ba-94e2-5424dcf626ba","https://image.prod.ordital.com/?assetId=c13a7b9f-ed8a-45ba-94e2-5424dcf626ba","HOBART","COH-05-33-1-16","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.8835679,147.3299293,"2020/05/07 05:17:18+00",NA,NA,"MACQUARIE","ST","HOBART","CAMERA (SMALL X 2)",-42.8835679,147.3299293,12,1,5
"8",526940.332708571,5252070.07432683,767,"f7102462-93c2-427f-9e47-e99178960473","https://image.prod.ordital.com/?assetId=f7102462-93c2-427f-9e47-e99178960473","HOBART","COH-05-33-1-17","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.8834941,147.3298996,"2020/05/07 05:19:16+00",NA,NA,"MACQUARIE","ST","HOBART","CAMERA (SMALL)",-42.8834941,147.3298996,12,1,5
"9",526924.441028758,5252074.256453,768,"f8264d70-9580-4663-9f60-c622a6ac3c89","https://image.prod.ordital.com/?assetId=f8264d70-9580-4663-9f60-c622a6ac3c89","HOBART","COH-05-33-1-18","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.883457,147.3297048,"2020/05/07 05:20:37+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.883457,147.3297048,12,1,4
"10",526917.687142671,5252082.52153933,789,"9cbc595b-df8d-467c-bcb9-a8fd3362dbc2","https://image.prod.ordital.com/?assetId=9cbc595b-df8d-467c-bcb9-a8fd3362dbc2","HOBART","COH-05-33-27","APPROVED",2,3885,"HPS_250_T","168949","22","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88338281,147.3296217,"2020/05/14 02:34:06+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88338281,147.3296217,12,1,4
"11",526986.659540933,5252028.23525501,1147,"c7883990-2a02-4cf9-a52d-f6064dfb5e34","https://image.prod.ordital.com/?assetId=c7883990-2a02-4cf9-a52d-f6064dfb5e34","HOBART","COH-05-66-03","APPROVED",2,NA,NA,NA,NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",NA,1,-42.88386923,147.3304689,"2020/05/12 01:03:25+00","30","30","DAVEY","ST","HOBART",NA,-42.88386923,147.3304689,12,1,6
"12",526990.240800821,5252006.47802027,322,"2bdf622b-4ff1-42a9-b542-83f538c31aec","https://image.prod.ordital.com/?assetId=2bdf622b-4ff1-42a9-b542-83f538c31aec","HOBART","COH-05-08-01","APPROVED",1,NA,NA,NA,NA,"BOLLARD","U (UNKNOWN LIGHT TYPE)",NA,"U-BOL (UNKNOWN - BOLLARD LIGHTING)",NA,NA,1,-42.88406503,147.3305138,"2020/05/12 03:58:53+00",NA,NA,"BROOKE","ST","HOBART",NA,-42.88406503,147.3305138,11,2,7
"13",526986.520033746,5252007.25663517,324,"18b709e2-8ed3-419e-900c-b21bf0f71d11","https://image.prod.ordital.com/?assetId=18b709e2-8ed3-419e-900c-b21bf0f71d11","HOBART","COH-05-08-03","APPROVED",1,NA,NA,NA,NA,"U-STR","U (UNKNOWN LIGHT TYPE)",NA,"U-STR (UNKNOWN - STREET / AREA LIGHTING)",NA,NA,1,-42.88405815,147.3304682,"2020/05/12 04:04:50+00",NA,NA,"BROOKE","ST","HOBART",NA,-42.88405815,147.3304682,11,2,7
"14",526808.914063675,5252156.57902192,434,"c78c06f2-6189-48a7-a7a9-7242c017ab15","https://image.prod.ordital.com/?assetId=c78c06f2-6189-48a7-a7a9-7242c017ab15","HOBART","COH-05-13-16","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88271974,147.3282862,"2020/05/04 23:34:40+00","85","85","COLLINS","ST","HOBART","OTHER ASSET",-42.88271974,147.3282862,11,2,1
"15",526818.309763501,5252170.23791117,435,"8e14eb6a-94b7-4e0c-8eac-3e254ab403b6","https://image.prod.ordital.com/?assetId=8e14eb6a-94b7-4e0c-8eac-3e254ab403b6","HOBART","COH-05-13-17","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88259641,147.3284006,"2020/05/04 23:34:59+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88259641,147.3284006,11,2,1
"16",526786.874130756,5252148.53510988,436,"62d57962-0335-45b5-8834-634b16a74961","https://image.prod.ordital.com/?assetId=62d57962-0335-45b5-8834-634b16a74961","HOBART","COH-05-13-18","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88279295,147.3280167,"2020/05/04 23:36:44+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88279295,147.3280167,11,2,1
"17",526809.34777933,5252160.9970349,437,"88fabdb9-7fb7-49fe-aab8-fb01029d82e1","https://image.prod.ordital.com/?assetId=88fabdb9-7fb7-49fe-aab8-fb01029d82e1","HOBART","COH-05-13-19","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88267994,147.3282913,"2020/05/04 23:37:19+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88267994,147.3282913,11,2,1
"18",526773.080735261,5252123.29879843,439,"9fd416a6-6bc2-4d3e-a7fd-59a72296bac3","https://image.prod.ordital.com/?assetId=9fd416a6-6bc2-4d3e-a7fd-59a72296bac3","HOBART","COH-05-13-21","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88302069,147.327849,"2020/05/04 23:41:18+00","138","138","COLLINS","ST","HOBART","OTHER ASSET",-42.88302069,147.327849,11,2,1
"19",526766.045991215,5252130.80081771,441,"f8bd615b-60b4-4d49-9eda-02083f867d60","https://image.prod.ordital.com/?assetId=f8bd615b-60b4-4d49-9eda-02083f867d60","HOBART","COH-05-13-23","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88295338,147.3277625,"2020/05/04 23:44:17+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88295338,147.3277625,11,2,1
"20",527005.840328506,5252073.50079411,757,"ba4f15c7-47e6-4f72-b67e-697a29afc7b8","https://image.prod.ordital.com/?assetId=ba4f15c7-47e6-4f72-b67e-697a29afc7b8","HOBART","COH-05-33-1-08","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88346093,147.3307016,"2020/05/07 05:03:18+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88346093,147.3307016,11,1,6
"21",526997.644766902,5252063.98397256,760,"24a3e798-9620-4ddd-a254-5c5886f0c0b9","https://image.prod.ordital.com/?assetId=24a3e798-9620-4ddd-a254-5c5886f0c0b9","HOBART","COH-05-33-1-10","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88354692,147.3306017,"2020/05/07 05:05:32+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88354692,147.3306017,11,1,5
"22",526978.48535905,5252053.28309168,761,"2b6749c0-e027-4a2c-a0f6-e31b035ac99d","https://image.prod.ordital.com/?assetId=2b6749c0-e027-4a2c-a0f6-e31b035ac99d","HOBART","COH-05-33-1-11","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88364396,147.3303676,"2020/05/07 05:06:48+00",NA,NA,"MACQUARIE","ST","HOBART","CAMERA (SMALL X 2)",-42.88364396,147.3303676,11,1,5
"23",526973.851928952,5252044.16203035,762,"95b82790-2c7a-44ba-b797-93d29f1e5781","https://image.prod.ordital.com/?assetId=95b82790-2c7a-44ba-b797-93d29f1e5781","HOBART","COH-05-33-1-12","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88372626,147.3303113,"2020/05/07 05:08:36+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88372626,147.3303113,11,1,5
"24",526979.554579261,5252051.05682797,764,"1ce39cb1-9513-4d06-91d2-3beaf5959637","https://image.prod.ordital.com/?assetId=1ce39cb1-9513-4d06-91d2-3beaf5959637","HOBART","COH-05-33-1-14","APPROVED",1,NA,NA,NA,NA,NA,"LED (LED)",NA,NA,NA,NA,0,-42.88366397,147.3303808,"2020/05/07 05:11:36+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88366397,147.3303808,11,1,5
"25",526972.861356339,5252064.35442145,765,"7d213617-a0eb-4dfd-98bd-37bcd24d1683","https://image.prod.ordital.com/?assetId=7d213617-a0eb-4dfd-98bd-37bcd24d1683","HOBART","COH-05-33-1-15","APPROVED",1,NA,NA,NA,NA,"U-STR","U (UNKNOWN LIGHT TYPE)",NA,"U-STR (UNKNOWN - STREET / AREA LIGHTING)",NA,NA,1,-42.88354446,147.3302982,"2020/05/07 05:15:31+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88354446,147.3302982,11,1,5
"26",526948.797562838,5252085.80995191,769,"e4df3693-b012-4866-8093-5e897230939d","https://image.prod.ordital.com/?assetId=e4df3693-b012-4866-8093-5e897230939d","HOBART","COH-05-33-1-19","APPROVED",1,NA,NA,NA,NA,"U-ORN","U (UNKNOWN LIGHT TYPE)",NA,"U-ORN (UNKNOWN - ORNAMENTAL LIGHTING)",NA,NA,1,-42.8833521,147.3300025,"2020/05/07 05:22:06+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.8833521,147.3300025,11,1,5
"27",526947.367159488,5252097.98307357,771,"da8480f1-d248-485e-9f87-f8b8de744e3e","https://image.prod.ordital.com/?assetId=da8480f1-d248-485e-9f87-f8b8de744e3e","HOBART","COH-05-33-1-20","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88324253,147.3299844,"2020/05/07 05:23:18+00",NA,NA,"MACQUARIE","ST","HOBART","CAMERA (SMALL)",-42.88324253,147.3299844,11,1,5
"28",526974.770147822,5252103.35916258,772,"6b9d10cf-79ee-4b1e-86ff-41b6826675a1","https://image.prod.ordital.com/?assetId=6b9d10cf-79ee-4b1e-86ff-41b6826675a1","HOBART","COH-05-33-1-21","APPROVED",1,NA,NA,NA,NA,"U-ORN","U (UNKNOWN LIGHT TYPE)",NA,"U-ORN (UNKNOWN - ORNAMENTAL LIGHTING)",NA,NA,1,-42.88319315,147.3303197,"2020/05/07 05:24:29+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88319315,147.3303197,11,1,5
"29",526986.7249316,5252086.50626464,773,"e47c89e5-0615-43b9-af0f-8caff5acca4e","https://image.prod.ordital.com/?assetId=e47c89e5-0615-43b9-af0f-8caff5acca4e","HOBART","COH-05-33-1-22","APPROVED",1,NA,NA,NA,NA,"U-ORN","U (UNKNOWN LIGHT TYPE)",NA,"U-ORN (UNKNOWN - ORNAMENTAL LIGHTING)",NA,NA,1,-42.88334449,147.3304669,"2020/05/07 05:25:40+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88334449,147.3304669,11,1,5
"30",526835.103604573,5252026.78184401,780,"7b140489-8e32-4de2-842f-cdd56371b1b9","https://image.prod.ordital.com/?assetId=7b140489-8e32-4de2-842f-cdd56371b1b9","HOBART","COH-05-33-18","APPROVED",1,1025,"HPS_400_T","168945","B40","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88388766,147.3286131,"2020/05/14 02:25:57+00",NA,NA,"MACQUARIE","ST","HOBART","OTHER ASSET",-42.88388766,147.3286131,11,1,1
"31",526903.530714154,5252093.99266781,785,"1bb1ecdb-2f6d-4eeb-96f8-c41110bc0ea6","https://image.prod.ordital.com/?assetId=1bb1ecdb-2f6d-4eeb-96f8-c41110bc0ea6","HOBART","COH-05-33-23","APPROVED",1,2265,"HPS_250_T","168950","23","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",NA,1,-42.88328001,147.3294478,"2020/05/14 02:35:01+00","111","111","MACQUARIE","ST","HOBART",NA,-42.88328001,147.3294478,11,1,4
"32",526924.208882211,5252115.07411653,788,"e0514b51-370a-41ad-a6e8-e0f6e64c0177","https://image.prod.ordital.com/?assetId=e0514b51-370a-41ad-a6e8-e0f6e64c0177","HOBART","COH-05-33-26","APPROVED",1,1027,"HPS_250_T","357570","21","HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88308944,147.3297,"2020/05/14 02:36:56+00","105","105","MACQUARIE","ST","HOBART",NA,-42.88308944,147.3297,11,1,4
"33",526939.599058299,5252105.84349991,792,"43f5cd3b-c692-4cfa-96d4-a2ec91ca0b27","https://image.prod.ordital.com/?assetId=43f5cd3b-c692-4cfa-96d4-a2ec91ca0b27","HOBART","COH-05-33-30","APPROVED",2,3739,"HPS_250_T","168953",NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2006,1,-42.88317202,147.3298889,"2020/05/14 02:35:54+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88317202,147.3298889,11,1,5
"34",526885.099960647,5251991.85741035,910,"9276c429-a921-468e-863b-e6c50ed4db77","https://image.prod.ordital.com/?assetId=9276c429-a921-468e-863b-e6c50ed4db77","HOBART","COH-05-40-29","APPROVED",1,27406,"HPS_250_T","192003",NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",NA,1,-42.8842004,147.329227,"2020/05/07 02:14:36+00","21","21","MURRAY","ST","HOBART",NA,-42.8842004,147.329227,11,1,2
"35",526853.910571838,5252012.14004334,912,"2e686246-6874-4927-a0c3-92ba4b3b9f0d","https://image.prod.ordital.com/?assetId=2e686246-6874-4927-a0c3-92ba4b3b9f0d","HOBART","COH-05-40-31","APPROVED",1,NA,NA,NA,NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2007,1,-42.88401885,147.3288441,"2020/05/07 02:16:42+00",NA,NA,"MURRAY","ST","HOBART",NA,-42.88401885,147.3288441,11,1,1
"36",526828.717730765,5252024.73350178,915,"51c7c7b9-288d-44a1-8534-b44b9ea61656","https://image.prod.ordital.com/?assetId=51c7c7b9-288d-44a1-8534-b44b9ea61656","HOBART","COH-05-40-34","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88390633,147.328535,"2020/05/07 02:21:48+00",NA,NA,"MURRAY","ST","HOBART","OTHER ASSET",-42.88390633,147.328535,11,1,1
"37",526900.36625741,5252113.8259825,1002,"81f96153-a46a-4049-9352-ee8dd7c24c0e","https://image.prod.ordital.com/?assetId=81f96153-a46a-4049-9352-ee8dd7c24c0e","HOBART","COH-05-52-01","APPROVED",1,NA,NA,NA,NA,"U-STR","U (UNKNOWN LIGHT TYPE)",NA,NA,NA,NA,1,-42.88310152,147.3294081,"2020/05/18 23:30:59+00",NA,NA,"TRAFALGAR","PL","HOBART",NA,-42.88310152,147.3294081,11,1,4
"38",526866.331222694,5252135.37574762,1003,"04eafe6d-9158-4d86-afd1-3aee702f3f65","https://image.prod.ordital.com/?assetId=04eafe6d-9158-4d86-afd1-3aee702f3f65","HOBART","COH-05-52-02","APPROVED",1,NA,NA,NA,NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)","250 (273 Watts - HPS)","T (TUBULAR - HPS)","S250 C",2017,1,-42.88290866,147.3289903,"2020/05/18 23:32:46+00",NA,NA,"TRAFALGAR","PL","HOBART",NA,-42.88290866,147.3289903,11,2,1
"39",527020.336444621,5252063.32182575,1146,"e0ad0f23-6647-488d-aed0-a9967d1e3244","https://image.prod.ordital.com/?assetId=e0ad0f23-6647-488d-aed0-a9967d1e3244","HOBART","COH-05-66-02","APPROVED",2,NA,NA,NA,NA,"HPS_CFL_MV_SHORT","HPS (High Pressure Sodium)",NA,NA,NA,NA,1,-42.88355208,147.3308796,"2020/05/12 01:00:37+00",NA,NA,"DAVEY","ST","HOBART","OTHER ASSET",-42.88355208,147.3308796,11,1,6
"40",526862.89089462,5252235.1301422,427,"4b06423a-268d-4148-b5b6-eb8472ba8c8f","https://image.prod.ordital.com/?assetId=4b06423a-268d-4148-b5b6-eb8472ba8c8f","HOBART","COH-05-13-09","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88201048,147.3289434,"2020/05/04 23:25:03+00",NA,NA,"COLLINS","ST","HOBART",NA,-42.88201048,147.3289434,10,2,1
"41",526872.830500326,5252235.36448024,428,"d3194bc8-f751-487e-9c70-e7c60b3ac611","https://image.prod.ordital.com/?assetId=d3194bc8-f751-487e-9c70-e7c60b3ac611","HOBART","COH-05-13-10","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88200802,147.3290651,"2020/05/04 23:25:09+00",NA,NA,"COLLINS","ST","HOBART","CAMERA (SMALL)",-42.88200802,147.3290651,10,2,1
"42",526857.445843128,5252214.74415213,430,"128738a2-8888-4540-8bdd-f5187abe4525","https://image.prod.ordital.com/?assetId=128738a2-8888-4540-8bdd-f5187abe4525","HOBART","COH-05-13-12","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88219425,147.3288777,"2020/05/04 23:28:24+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88219425,147.3288777,10,2,1
"43",526822.581787688,5252191.41805865,431,"01f2d530-117f-4c18-ad56-d6b9fd430a95","https://image.prod.ordital.com/?assetId=01f2d530-117f-4c18-ad56-d6b9fd430a95","HOBART","COH-05-13-13","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88240553,147.3284519,"2020/05/04 23:30:37+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88240553,147.3284519,10,2,1
"44",526819.285208594,5252190.01283703,432,"ab3f3b44-8524-4aa5-867a-11f146ded035","https://image.prod.ordital.com/?assetId=ab3f3b44-8524-4aa5-867a-11f146ded035","HOBART","COH-05-13-14","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.8824183,147.3284116,"2020/05/04 23:32:40+00","77","77","COLLINS","ST","HOBART","OTHER ASSET",-42.8824183,147.3284116,10,2,1
"45",526841.966230856,5252199.06356827,433,"2e969859-f083-413e-b6fb-e809f0aee3d8","https://image.prod.ordital.com/?assetId=2e969859-f083-413e-b6fb-e809f0aee3d8","HOBART","COH-05-13-15","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.882336,147.3286889,"2020/05/04 23:32:41+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.882336,147.3286889,10,2,1
"46",526793.539191334,5252144.66244307,438,"f05e281d-0058-48ae-b9de-c7f7510ea41e","https://image.prod.ordital.com/?assetId=f05e281d-0058-48ae-b9de-c7f7510ea41e","HOBART","COH-05-13-20","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88282759,147.3280985,"2020/05/04 23:39:26+00",NA,NA,"COLLINS","ST","HOBART","OTHER ASSET",-42.88282759,147.3280985,10,2,1
"47",527050.723571015,5252019.771507,520,"956be4fd-736e-481a-8c03-414b4136dd03","https://image.prod.ordital.com/?assetId=956be4fd-736e-481a-8c03-414b4136dd03","HOBART","COH-05-18l-01","APPROVED",1,82804,"LED_14_L1","188344",NA,"U-STR","LED (LED)","14 (17 Watts - LED)","L1 (LED - LED)",NA,NA,1,-42.88394318,147.3312538,"2020/05/12 01:10:51+00",NA,NA,"DESPARD","ST","HOBART",NA,-42.88394318,147.3312538,10,2,9
"48",527051.058420173,5252036.38406546,524,"928be6f8-bedf-470a-92d7-3b4eacc4d987","https://image.prod.ordital.com/?assetId=928be6f8-bedf-470a-92d7-3b4eacc4d987","HOBART","COH-05-18l-05","APPROVED",1,NA,NA,NA,NA,"MV","MV (Mercury Vapour)",NA,NA,NA,NA,1,-42.88379357,147.3312571,"2020/05/12 03:49:58+00",NA,NA,"DESPARD","ST","HOBART",NA,-42.88379357,147.3312571,10,1,8
"49",526828.375922972,5252238.51193861,537,"ee044d97-bda8-48d1-ba9a-3ddabde2ec5b","https://image.prod.ordital.com/?assetId=ee044d97-bda8-48d1-ba9a-3ddabde2ec5b","HOBART","COH-05-20-03","APPROVED",1,NA,NA,NA,NA,"LED_LARGE","LED (LED)",NA,"LL (LED - LARGE - 1 PANEL)",NA,NA,1,-42.88198124,147.3285206,"2020/05/05 00:09:50+00",NA,NA,"ELIZABETH","MALL","HOBART",NA,-42.88198124,147.3285206,10,2,1
"50",526828.548190178,5252240.80218318,538,"b5737cf8-5ffb-446b-b959-92844d88d4aa","https://image.prod.ordital.com/?assetId=b5737cf8-5ffb-446b-b959-92844d88d4aa","HOBART","COH-05-20-04","APPROVED",1,NA,NA,NA,NA,"LED_LARGE","LED (LED)",NA,"LL (LED - LARGE - 1 PANEL)",NA,NA,1,-42.88196061,147.3285226,"2020/05/05 00:11:11+00",NA,NA,"ELIZABETH","MALL","HOBART",NA,-42.88196061,147.3285226,10,2,1
"51",527018.640608497,5252105.58776192,750,"3b7c567a-ed74-4f1e-b052-d81031a160fb","https://image.prod.ordital.com/?assetId=3b7c567a-ed74-4f1e-b052-d81031a160fb","HOBART","COH-05-33-1-01","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.88317153,147.3308568,"2020/05/07 04:50:59+00",NA,NA,"MACQUARIE","ST","HOBART",NA,-42.88317153,147.3308568,10,1,7
